Name,Primary or Secondary,Tier,Physical or Magical,Trait,Range,Damage,Burden,Feature 1 Name,Feature 1 Text
Adder’s Fang,Primary,4,Magical,Finesse,Melee,d8+9 mag,One-Handed,Venomous,"When you deal Major or greater damage with this weapon, the target becomes temporarily Vulnerable."
Demon’s Edge,Primary,4,Magical,Presence,Melee,d8+10 mag,One-Handed,Disturbing,"When you defeat a creature with this weapon, all adversaries within Close range must mark a Stress."
Siphoning Gauntlets,Primary,4,Magical,Presence,Melee,d10+9 mag,Two-Handed,Lifestealing,"On a successful attack, roll a d6. On a result of 6, clear a Hit Point or clear a Stress."
Midas Scythe,Primary,4,Magical,Knowledge,Melee,d10+9 mag,Two-Handed,Greedy,Spend a handful of gold to gain a +1 bonus to your Proficiency on a damage roll.
Storm God’s Greataxe,Primary,4,Magical,Strength,Very Close,d10+9 mag,Two-Handed,Bouncing,Mark any number of Stress to target that many additional creatures in range of the attack.
Ethereal Zweihänder,Primary,4,Magical,Instinct,Very Close,d10+9 mag,Two-Handed,Ethereal,You must mark a Stress to conjure this weapon. It lasts until the end of the scene.
Floating Bladeshards,Primary,4,Magical,Instinct,Close,d8+9 mag,One-Handed,Powerful,"On a successful attack, roll an additional damage die and discard the lowest result."
Bloodstaff,Primary,4,Magical,Instinct,Far,d20+7 mag,Two-Handed,Painful,"Each time you make a successful attack, you must mark a Stress."
Thistlebow,Primary,4,Magical,Instinct,Far,d6+13 mag,Two-Handed,Reliable,+1 to attack rolls
Gravity Arbalest,Primary,4,Magical,Knowledge,Far,d8+6 mag,Two-Handed,Magnetic,"When you make an attack with this weapon, you can spend a Hope to force all adversaries within Very Close range of the target to make a Reaction Roll (16). Creatures who fail must mark a Stress and are pulled into Melee range of the target."
Wand of Essek,Primary,4,Magical,Knowledge,Far,d8+13 mag,One-Handed,Timebending,You can choose the target of your attack after making your attack roll.
Magus Revolver,Primary,4,Magical,Finesse,Very Far,d6+13 mag,One-Handed,Reloading,"After you make an attack, roll a d6. On a result of 1, you must mark a Stress to reload this weapon before you can fire it again."
Fusion Gloves,Primary,4,Magical,Knowledge,Very Far,d6+9 mag,Two-Handed,Bonded,Gain a bonus to your damage rolls equal to your level.
Hatchet,Secondary,1,Physical,Agility,Melee,d8 phy,One-Handed,Follow-Up,"On a successful attack with your primary weapon within Melee range, you can mark a Stress to gain a +1 bonus to your Proficiency for this attack."
Shortsword,Secondary,1,Physical,Agility,Melee,d8 phy,One-Handed,Paired,+2 to primary weapon damage to targets within Melee range
Offhand Brass Knuckles,Secondary,1,Physical,Strength,Melee,d8 phy,One-Handed,Paired,+2 to primary weapon damage to targets within Melee range
Round Shield,Secondary,1,Physical,Strength,Melee,d4 phy,One-Handed,Protective,+1 to Armor Score
Tower Shield,Secondary,1,Physical,Strength,Melee,d6 phy,One-Handed,Barrier,+2 to Armor Score; -1 to Evasion
Small Dagger,Secondary,1,Physical,Finesse,Melee,d8 phy,One-Handed,Paired,+2 to primary weapon damage to targets within Melee range
Throwing Knives,Secondary,1,Physical,Finesse,Melee,d8 phy,One-Handed,Stockpiled,"You can throw this weapon within Close range by making an attack roll using Finesse. You don’t have to retrieve it, as you always have another on hand."
Fighting Cloak,Secondary,1,Physical,Presence,Melee,d4 phy,One-Handed,Padded,+2 to damage thresholds
Rune Shield,Secondary,1,Magical,Knowledge,Melee,d4 mag,One-Handed,Protective,+1 to Armor Score
Focus Runes,Secondary,1,Magical,Instinct,Very Close,d6 mag,One-Handed,Focused,+1 to primary weapon damage to targets within Very Close range
Whip,Secondary,1,Physical,Presence,Very Close,d6 phy,One-Handed,Startling,Mark a Stress to crack the whip and force all adversaries within Melee range back to Close range.
Grappler,Secondary,1,Physical,Finesse,Close,d6 phy,One-Handed,Hooked,"On a successful attack, you can pull the target into Melee range."
Hand Crossbow,Secondary,1,Physical,Finesse,Far,d6+1 phy,One-Handed,,
Improved Hatchet,Secondary,2,Physical,Agility,Melee,d8+2 phy,One-Handed,Follow-Up,"On a successful attack with your primary weapon within Melee range, you can mark a Stress to gain a +1 bonus to your Proficiency for this attack."
Improved Shortsword,Secondary,2,Physical,Agility,Melee,d8+2 phy,One-Handed,Paired,+3 to primary weapon damage to targets within Melee range
Improved Offhand Brass Knuckles,Secondary,2,Physical,Strength,Melee,d8+2 phy,One-Handed,Paired,+3 to primary weapon damage to targets within Melee range
Improved Round Shield,Secondary,2,Physical,Strength,Melee,d4+2 phy,One-Handed,Protective,+2 to Armor Score
Improved Tower Shield,Secondary,2,Physical,Strength,Melee,d6+2 phy,One-Handed,Barrier,+3 to Armor Score; -1 to Evasion
Improved Small Dagger,Secondary,2,Physical,Finesse,Melee,d8+2 phy,One-Handed,Paired,+3 to primary weapon damage to targets within Melee range
Improved Throwing Knives,Secondary,2,Physical,Finesse,Melee,d8+2 phy,One-Handed,Stockpiled,"You can throw this weapon within Close range by making an attack roll using Finesse. You don’t have to retrieve it, as you always have another on hand."
Improved Fighting Cloak,Secondary,2,Physical,Presence,Melee,d4+2 phy,One-Handed,Padded,+3 to damage thresholds
Improved Rune Shield,Secondary,2,Magical,Knowledge,Melee,d4+2 mag,One-Handed,Protective,+2 to Armor Score
Improved Focus Runes,Secondary,2,Magical,Instinct,Very Close,d6+2 mag,One-Handed,Focused,+1 to primary weapon damage to targets within Very Close range
Improved Whip,Secondary,2,Physical,Presence,Very Close,d6+2 phy,One-Handed,Startling,Mark a Stress to crack the whip and force all adversaries within Melee range back to Close range.
Improved Grappler,Secondary,2,Physical,Finesse,Close,d6+2 phy,One-Handed,Hooked,"On a successful attack, you can pull the target into Melee range."
Improved Hand Crossbow,Secondary,2,Physical,Finesse,Far,d6+3 phy,One-Handed,,
Collapsible Baton,Secondary,2,Physical,Strength,Melee,d8 phy,One-Handed,Nonlethal,"When a target would mark any number of Hit Points from an attack with this weapon, they mark an equal number of Stress instead."
Spiked Shield,Secondary,2,Physical,Strength,Melee,d6+2 phy,One-Handed,Double Duty,+1 to Armor Score; +1 to primary weapon damage within Melee range
Parrying Dagger,Secondary,2,Physical,Finesse,Melee,d6+2 phy,One-Handed,Parry,"When you are attacked, roll this weapon's damage dice. If any of the attacker's damage dice rolled the same value as your dice, the matching results are discarded from the attacker's damage dice before the damage you take is totaled."
Eldritch Vambrace,Secondary,2,Magical,Instinct,Melee,d8 mag,One-Handed,Deflecting,"When you are attacked, you can mark an Armor Slot to gain a bonus to your Evasion equal to your Armor Score against the attack."
Segmented Staff,Secondary,2,Physical,Agility,Very Close,d6+4 phy,One-Handed,Double Duty,+1 to Armor Score; +1 to primary weapon damage within Melee range
Razor Wire,Secondary,2,Physical,Finesse,Very Close,d6+3 phy,One-Handed,Entangling,"On a successful attack with your primary weapon against a target within Very Close range, you can spend a Hope to make the target temporarily Vulnerable."
Returning Axe,Secondary,2,Physical,Agility,Close,d6+4 phy,One-Handed,Returning,"When this weapon is thrown within its range, it appears in your hand immediately after the attack."
Advanced Hatchet,Secondary,3,Physical,Agility,Melee,d8+4 phy,One-Handed,Follow-Up,"On a successful attack with your primary weapon within Melee range, you can mark a Stress to gain a +1 bonus to your Proficiency for this attack."
Advanced Shortsword,Secondary,3,Physical,Agility,Melee,d8+4 phy,One-Handed,Paired,+4 to primary weapon damage to targets within Melee range
Advanced Offhand Brass Knuckles,Secondary,3,Physical,Strength,Melee,d8+4 phy,One-Handed,Paired,+4 to primary weapon damage to targets within Melee range
Advanced Round Shield,Secondary,3,Physical,Strength,Melee,d4+4 phy,One-Handed,Protective,+3 to Armor Score
Advanced Tower Shield,Secondary,3,Physical,Strength,Melee,d6+4 phy,One-Handed,Barrier,+4 to Armor Score; -1 to Evasion
Advanced Small Dagger,Secondary,3,Physical,Finesse,Melee,d8+4 phy,One-Handed,Paired,+4 to primary weapon damage to targets within Melee range
Advanced Throwing Knives,Secondary,3,Physical,Finesse,Melee,d8+4 phy,One-Handed,Stockpiled,"You can throw this weapon within Close range by making an attack roll using Finesse. You don’t have to retrieve it, as you always have another on hand."
Advanced Fighting Cloak,Secondary,3,Physical,Presence,Melee,d4+4 phy,One-Handed,Padded,+4 to damage thresholds
Advanced Rune Shield,Secondary,3,Magical,Knowledge,Melee,d4+4 mag,One-Handed,Protective,+3 to Armor Score
Advanced Focus Runes,Secondary,3,Magical,Instinct,Very Close,d6+4 mag,One-Handed,Focused,+1 to primary weapon damage to targets within Very Close range
Advanced Whip,Secondary,3,Physical,Presence,Very Close,d6+4 phy,One-Handed,Startling,Mark a Stress to crack the whip and force all adversaries within Melee range back to Close range.
Advanced Grappler,Secondary,3,Physical,Finesse,Close,d6+4 phy,One-Handed,Hooked,"On a successful attack, you can pull the target into Melee range."
Advanced Hand Crossbow,Secondary,3,Physical,Finesse,Far,d6+5 phy,One-Handed,,
Buckler,Secondary,3,Physical,Agility,Melee,d4+4 phy,One-Handed,Deflecting,"When you are attacked, you can mark an Armor Slot to gain a bonus to your Evasion equal to your available Armor Score against the attack."
Tinker’s Hammer,Secondary,3,Physical,Strength,Melee,d8+4 phy,One-Handed,Trusty,+1 to attack rolls made with your primary weapon
Vorpal Shard,Secondary,3,Magical,Knowledge,Melee,d4 mag,One-Handed,Targeted,"When you fail a weapon attack, you can spend a Hope to succeed on your next weapon attack."
Soul Chain,Secondary,3,Magical,Presence,Very Close,d6+5 mag,One-Handed,Draining,"On a successful attack, you can spend a Hope to force the target to mark a Stress. If they do, you clear a Stress."
Powered Gauntlet,Secondary,3,Physical,Knowledge,Close,d6+4 phy,One-Handed,Charged,Mark a Stress to gain a +1 bonus to your Proficiency on a primary weapon attack.
War Dart,Secondary,3,Physical,Agility,Far,d6+5 phy,One-Handed,Versatile,"This weapon can also be used with these statistics—Agility, Melee, d8+5."
Hand Sling,Secondary,3,Physical,Finesse,Very Far,d6+4 phy,One-Handed,Versatile,"This weapon can also be used with these statistics—Finesse, Close, d8+4."
Legendary Hatchet,Secondary,4,Physical,Agility,Melee,d8+6 phy,One-Handed,Follow-Up,"On a successful attack with your primary weapon within Melee range, you can mark a Stress to gain a +1 bonus to your Proficiency for this attack."
Legendary Shortsword,Secondary,4,Physical,Agility,Melee,d8+6 phy,One-Handed,Paired,+5 to primary weapon damage to targets within Melee range
Legendary Offhand Brass Knuckles,Secondary,4,Physical,Strength,Melee,d8+6 phy,One-Handed,Paired,+5 to primary weapon damage to targets within Melee range
Legendary Round Shield,Secondary,4,Physical,Strength,Melee,d4+6 phy,One-Handed,Protective,+4 to Armor Score
Legendary Tower Shield,Secondary,4,Physical,Strength,Melee,d6+6 phy,One-Handed,Barrier,+5 to Armor Score; -1 to Evasion.
Legendary Small Dagger,Secondary,4,Physical,Finesse,Melee,d8+6 phy,One-Handed,Paired,+5 to primary weapon damage to targets within Melee range
Legendary Throwing Knives,Secondary,4,Physical,Finesse,Melee,d8+6 phy,One-Handed,Stockpiled,"You can throw this weapon within Close range by making an attack roll using Finesse. You don’t have to retrieve it, as you always have another on hand."
Legendary Fighting Cloak,Secondary,4,Physical,Presence,Melee,d4+6 phy,One-Handed,Padded,+5 to damage thresholds
Legendary Rune Shield,Secondary,4,Magical,Knowledge,Melee,d4+6 mag,One-Handed,Protective,+4 to Armor Score
Legendary Focus Runes,Secondary,4,Magical,Instinct,Very Close,d6+6 mag,One-Handed,Focused,+1 to primary weapon damage to targets within Very Close range
Legendary Whip,Secondary,4,Physical,Presence,Very Close,d6+6 phy,One-Handed,Startling,Mark a Stress to crack the whip and force all adversaries within Melee range back to Close range.
Legendary Grappler,Secondary,4,Physical,Finesse,Close,d6+6 phy,One-Handed,Hooked,"On a successful attack, you can pull the target into Melee range."
Legendary Hand Crossbow,Secondary,4,Physical,Finesse,Far,d6+7 phy,One-Handed,,
Braveshield,Secondary,4,Physical,Agility,Melee,d4+6 phy,One-Handed,Sheltering,"When you mark an Armor Slot, it reduces damage for you and all allies within Melee range of you who took the same damage."
Knuckle Claws,Secondary,4,Physical,Strength,Melee,d6+8 phy,One-Handed,Doubled Up,"When you make an attack with your primary weapon, you can deal damage to another target within Melee range."
Void Needle,Secondary,4,Physical,Finesse,Melee,d4+6 phy,One-Handed,Inverted,"When you roll a weapon attack with Fear, you gain a Hope."
Echo Blade,Secondary,4,Magical,Presence,Melee,d4+6 mag,One-Handed,Doubled Up,"When you succeed on an attack with your primary weapon, you can deal damage to another target within Melee range."
Möbius Orb,Secondary,4,Magical,Knowledge,Melee,d8+6 mag,One-Handed,Recursive,"When you roll the maximum value on a damage die, roll an additional damage die and add the result to the total damage. This feature can trigger repeatedly."
Primer Shard,Secondary,4,Physical,Instinct,Very Close,d4 phy,One-Handed,Locked On,"On a successful attack, your next attack against the same target with your primary weapon automatically succeeds."
Blackblood Tendril,Secondary,4,Magical,Instinct,Close,d6+8 mag,One-Handed,Poisonous,"When a target marks any number of Hit Points from an attack you rolled with Fear, they mark an equal number of Stress."
Light-Frame Wheelchair,Primary,1,Physical,Agility,Melee,d8 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Improved Light-Frame Wheelchair,Primary,2,Physical,Agility,Melee,d8+3 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Advanced Light-Frame Wheelchair,Primary,3,Physical,Agility,Melee,d8+6 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Legendary Light-Frame Wheelchair,Primary,4,Physical,Agility,Melee,d8+9 phy,One-Handed,Quick,"When you make an attack, you can mark a Stress to target another creature within range."
Heavy-Frame Wheelchair,Primary,1,Physical,Strength,Melee,d12+3 phy,Two-Handed,Heavy,-1 to Evasion
Improved Heavy-Frame Wheelchair,Primary,2,Physical,Strength,Melee,d12+6 phy,Two-Handed,Heavy,-1 to Evasion
Advanced Heavy-Frame Wheelchair,Primary,3,Physical,Strength,Melee,d12+9 phy,Two-Handed,Heavy,-1 to Evasion
Legendary Heavy-Frame Wheelchair,Primary,4,Physical,Strength,Melee,d12+12 phy,Two-Handed,Heavy,-1 to Evasion
Arcane-Frame Wheelchair,Primary,1,Magical,Spellcast,Far,d6 mag,One-Handed,Reliable,+1 to attack rolls
Improved Arcane-Frame Wheelchair,Primary,2,Magical,Spellcast,Far,d6+3 mag,One-Handed,Reliable,+1 to attack rolls
Advanced Arcane-Frame Wheelchair,Primary,3,Magical,Spellcast,Far,d6+6 mag,One-Handed,Reliable,+1 to attack rolls
Legendary Arcane-Frame Wheelchair,Primary,4,Magical,Spellcast,Far,d6+9 mag,One-Handed,Reliable,+1 to attack rolls
